M.E.T. [s], Sea Level Altitude [m], Radar Altitude [m], Latitude [deg], Longitude [deg], Surface Velocity [m/s], Orbital Velocity [m/s], Vertical Speed [m/s], Ground Speed [m/s], Apoapsis [m], Time to Apoapsis [s], Periapsis [m], Time to Periapsis [s], Inclination [deg], Mass [t], Max Thrust [kN], Current Thrust [kN], T.W.R., % Terminal Velocity, Trajectory Preferred Pitch [deg], Pitch Command [deg], Vessel Pitch [deg], Heading Command [deg], Vessel Heading [deg], dv Spent [m/s], Dynamic Pressure [kPa]
49.8399999738904, 5547.20557920705, 5485.80078125, -0.0993128791451454, -74.4859466552734, 238.459587534149, 339.309920463628, 225.774481257376, 76.7388982193472, 8220.9945683151, 23.8415279918732, -596651.083102534, 306.51710727901, 0.181940582995905, 116.089881896973, 1692.90873718262, 1692.85787200928, 1.51353469318658, NoAcc, 68.9651203735086, 68.9651203735086, 69.122382331923, 89.6309887984534, 89.7408897209572, 741.463959480317, 0.156789435059881
50.859999973356, 5779.05882681091, 5719.6796875, -0.0993859171867371, -74.4782791137695, 243.064434020602, 345.168655501843, 228.91603506674, 81.717611168454, 8531.97926044068, 24.2068176641126, -596512.872267113, 307.193890167332, 0.19225992019582, 115.45881652832, 1695.47291564941, 1695.42317199707, 1.52527704060632, NoAcc, 68.2954732340858, 68.2954732340858, 68.3436928204073, 89.6222073464596, 90.8290872684167, 756.394709384562, 0.157912690006336
51.9599999727798, 6032.72820438666, 5974.974609375, -0.0994553044438362, -74.4694747924805, 248.217553406637, 351.657528145864, 232.381465151153, 87.2399476924433, 8874.42753105168, 24.6111203729643, -596356.172214377, 307.944459809183, 0.182890777494819, 114.778251647949, 1698.1803817749, 1698.13177490234, 1.5380555425006, NoAcc, 67.5634355469715, 67.5634355469715, 67.4925526871764, 90.3646877777661, 89.6546498612444, 772.613212463421, 0.159133032940926
52.9799999722454, 6271.39463524835, 6215.55908203125, -0.0995253100991249, -74.4607925415039, 253.167250079618, 357.844445720124, 235.650949771101, 92.5326233544354, 9198.29079089104, 24.9941162743497, -596202.675675585, 308.658739618597, 0.181977677165033, 114.147186279297, 1700.63676452637, 1700.58904266357, 1.55001299278524, NoAcc, 66.9123520622945, 66.9123520622945, 67.0431613562621, 89.6291425582405, 90.0481914001021, 787.761536734903, 0.160243757889634
53.9999999717111, 6513.34490064462, 6459.85009765625, -0.0995937287807465, -74.4515762329102, 258.269436853802, 364.250278656492, 238.902737050398, 98.1253496432423, 9526.56251130777, 25.3776288437135, -596037.053839785, 309.385146187996, 0.173572895670501, 113.516128540039, 1703.04065704346, 1702.99419403076, 1.56207656094475, NoAcc, 66.2503577233611, 66.2503577233611, 65.8252967118084, 90.3413015837329, 90.0908891241757, 802.715489232831, 0.161313332999945
55.0999999711348, 6778.10085263324, 6730.81103515625, -0.0996639803051949, -74.441047668457, 263.979977093891, 371.323621765612, 242.509492373418, 104.281227530552, 9888.59518391127, 25.8042989079829, -595850.476748358, 310.192859748344, 0.171973571742765, 112.835563659668, 1705.57408905029, 1705.52854156494, 1.57520687230209, NoAcc, 65.5383218044924, 65.5383218044924, 65.5427385871137, 89.6509289467933, 89.6614050692089, 819.2838216497, 0.16244372058129
56.1199999706005, 7027.12648208742, 6985.82568359375, -0.0997369587421417, -74.4307022094727, 269.464782845329, 378.096932680824, 245.882685848909, 110.240527908782, 10230.2985929279, 26.2056521606107, -595665.703776256, 310.960043585208, 0.17875764119759, 112.20450592041, 1707.86817932129, 1707.82376861572, 1.58749623074986, NoAcc, 64.8796281201384, 64.8796281201384, 64.6014401042935, 89.6479214377856, 90.5356719508092, 834.760045602502, 0.163453520255887
57.2199999700242, 7299.60956578853, 7268.33984375, -0.0998063534498215, -74.4188995361328, 275.573517817242, 385.549486976422, 249.606197133481, 116.779750276887, 10606.8211741586, 26.6502991803772, -595458.047108257, 311.810800391885, 0.16523037335779, 111.523941040039, 1710.28327178955, 1710.24005126953, 1.60087534657578, NoAcc, 64.1703641499611, 64.1703641499611, 64.0001454273267, 90.3298962308184, 89.761235821112, 851.571059937772, 0.164476081840903
58.2399999694899, 7555.9197616392, 7537.84912109375, -0.0998786464333534, -74.407341003418, 281.381722840528, 392.632338754429, 253.034313757543, 123.082533326028, 10960.7606716482, 27.0627772248276, -595253.192311151, 312.611921597333, 0.171718401623291, 110.892875671387, 1712.46723175049, 1712.42501068115, 1.61339924699578, NoAcc, 63.5136526776531, 63.5136526776531, 63.3904656003105, 89.655891362604, 90.5019801083036, 867.272541302614, 0.165301299993332
59.3399999689136, 7836.21056543349, 7835.2275390625, -0.0999555289745331, -74.3941955566406, 287.750438560564, 400.384050424496, 256.679589846194, 130.061151187379, 11346.882885999, 27.5049369797204, -595020.861943722, 313.484422687225, 0.176616251537854, 110.21231842041, 1714.76202392578, 1714.72100067139, 1.62703425732673, NoAcc, 62.7933858460999, 62.7933858460999, 62.3759855125986, 89.6521445664523, 90.498741613111, 884.018039219079, 0.16598945796719
60.3799999683688, 8104.93789098191, 8104.93789098191, -0.100019805133343, -74.381103515625, 293.852842660887, 407.762141643008, 260.104173296401, 136.730801846839, 11716.79905415, 27.9231818777454, -594793.269612561, 314.31864040326, 0.166449919100339, 109.568878173828, 1716.87264251709, 1716.83255004883, 1.6400491920971, NoAcc, 62.1381175451717, 62.1381175451717, 62.2430831775529, 90.3409700393807, 89.1444034460027, 900.261550030692, 0.166414335580786
